CHEM125/CHEM126/CHEM130-CHEM210/CHEM211-CHEM215/CHEM216-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE,4
CHEM125/CHEM126/CHEM130-NONE-CHEM210/CHEM211-CHEM215/CHEM216-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE,5
CHEM125/CHEM126/CHEM130-NONE-CHEM215/CHEM216-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE,1
CHEM125/CHEM126/CHEM130-NONE-NONE-CHEM210/CHEM211-CHEM215/CHEM216-NONE-NONE-NONE-NONE-NONE-NONE-NONE,1
CHEM125/CHEM126/CHEM130-NONE-NONE-CHEM210/CHEM211-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE,1
CHEM125/CHEM126/CHEM130-NONE-NONE-NONE-CHEM210/CHEM211-NONE-NONE-NONE-NONE-NONE-NONE-NONE,1
CHEM130-CHEM125/CHEM126-CHEM210/CHEM211-CHEM215/CHEM216-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE,1
CHEM130-CHEM210/CHEM211-CHEM215/CHEM216-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE,3
CHEM210-CHEM211/CHEM215/CHEM216-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE,1
CHEM210/CHEM211-CHEM215-NONE-NONE-NONE-NONE-CHEM216-NONE-NONE-NONE-NONE-NONE,1
CHEM210/CHEM211-CHEM215-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE,1
CHEM210/CHEM211-CHEM215/CHEM216-CHEM130-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE,1
CHEM210/CHEM211-CHEM215/CHEM216-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE,98
CHEM210/CHEM211-NONE-CHEM215-CHEM216-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE,1
CHEM210/CHEM211-NONE-CHEM215/CHEM216-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE,2
CHEM211/CHEM215-CHEM216-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE,1
CHEM211/CHEM215-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE,1
CHEM211/CHEM216-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE,1
CHEM215/CHEM216-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE,5
NONE-CHEM125/CHEM126/CHEM130-CHEM210-CHEM211/CHEM215/CHEM216-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE,1
NONE-CHEM125/CHEM126/CHEM130-CHEM210/CHEM211-CHEM215/CHEM216-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE,4
NONE-CHEM130-CHEM125/CHEM126/CHEM210/CHEM211-CHEM215/CHEM216-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE,2
NONE-CHEM210/CHEM211-CHEM215/CHEM216-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE,4
NONE-CHEM210/CHEM211-NONE-CHEM215/CHEM216-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE,2
NONE-CHEM210/CHEM211-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE,2
NONE-CHEM211-NONE-CHEM216-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE,1
NONE-NONE-CHEM125/CHEM126/CHEM130-CHEM210/CHEM211-CHEM215/CHEM216-NONE-NONE-NONE-NONE-NONE-NONE-NONE,1
NONE-NONE-CHEM125/CHEM126/CHEM130-NONE-CHEM210/CHEM211-CHEM215/CHEM216-NONE-NONE-NONE-NONE-NONE-NONE,1
NONE-NONE-CHEM130-CHEM125/CHEM126/CHEM210/CHEM211-CHEM215-CHEM216-NONE-NONE-NONE-NONE-NONE-NONE,1
NONE-NONE-CHEM130-CHEM210/CHEM211-CHEM125/CHEM126/CHEM215/CHEM216-NONE-NONE-NONE-NONE-NONE-NONE-NONE,1
NONE-NONE-CHEM210/CHEM211-CHEM215-NONE-CHEM216-NONE-NONE-NONE-NONE-NONE-NONE,1
NONE-NONE-CHEM210/CHEM211-CHEM215/CHEM216-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE,7
NONE-NONE-CHEM215/CHEM216-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE-NONE,1
